p243752	v729
p152569	v1907
p103754	v188
p48858	v867
p139137	v1808
p277741	v2378
p136617	v841
p82448	v1309
p244852	v51
p4030	v68
p18932	v431
p21529	v462
p55064	v1006
p137601	v859
p270662	v1111
p181980	v243
p102876	v177
p174415	v188
p241692	v2324
p213080	v956
p111728	v1558
p82450	v1309
p81689	v1303
p221691	v188
p255961	v1000
p67081	v238
p58542	v1068
p162568	v2009
p182710	v251
p239701	v2139
p243469	v1645
p67923	v1121
p270565	v230
p83941	v1325
p85753	v1347
p197623	v1230
p19033	v433
p153075	v1911
p272641	v278
p114311	v420
p251937	v2423
p90827	v1411
p187082	v292
p244467	v1692
p254373	v1381
p167587	v2075
p206111	v1730
p18047	v416
p168237	v2078
p248335	v804
p275012	v2120
p65153	v1097
p286794	v2557
p72916	v1162
p236794	v2382
p63183	v203
p130697	v474
p108452	v1533
p119505	v1651
p213722	v1887
p214054	v1896
p256939	v2446
p24925	v500
p28874	v570
p3484	v58
p144045	v1843
p1360	v26
p278474	v616
p43882	v793
p29010	v188
p90260	v1404
p190994	v342
p67465	v243
p121597	v1674
p169408	v176
p189304	v1149
p158454	v1966
p67970	v1123
p223207	v192
p91582	v1415
p175435	v188
p99690	v1484
p136052	v1766
p166521	v2056
p48941	v869
p275236	v2513
p251154	v890
p80305	v1235
p58334	v1062
p250534	v2415
p218447	v2334
p237375	v2385
p173649	v188
p89564	v1397
p286051	v2535
p215627	v1032
p8238	v144
p271064	v248
p144881	v943
p92723	v1418
p256993	v2446
p153444	v131
p219317	v2338
p61342	v188
p269771	v578
p249966	v857
p148494	v1886
p161885	v1993
p108490	v281
p194643	v370
p267262	v207
p219896	v1504
p120372	v1654
p261611	v2474
p6266	v104
p82357	v1309
p278010	v615
p269370	v578
p129911	v1727
p259408	v2463
p45737	v819
p226804	v1104
p56831	v1027
p182114	v586
p91968	v1415
p232527	v339
p10430	v188
p247167	v1723
p215024	v2325
p220938	v2341
p204923	v2286
p191549	v345
p83144	v1321
p268348	v578
p288433	v2205
p3163	v54
p51037	v917
p212342	v1843
p217665	v2333
p240212	v2177
p173684	v188
p101986	v1500
p282082	v2523
p130343	v1728
p75233	v1228
p275273	v2513
p279254	v1161
p9312	v177
p10166	v188
p178727	v1096
p254341	v118
p250143	v857
p88673	v1392
p109132	v1540
p93669	v1431
p109613	v301
p43320	v789
p83023	v1319
p11763	v201
p285281	v2529
p265240	v188
p123622	v1693
p19711	v452
p172044	v184
p116431	v432
p192189	v1548
p22526	v471
p63271	v203
p39905	v736
p240531	v2389
p267710	v578
p283949	v2187
p233858	v2363
p248451	v2410
p26157	v521
p141749	v904
p164064	v2024
p108038	v1529
p98274	v1461
p160304	v1986
p213310	v1369
p67840	v254
p137241	v858
p59169	v1078
p59303	v1081
p105444	v190
p51309	v920
p83459	v1324
p158805	v1966
p11524	v193
p72114	v1156
p93939	v480
p173009	v188
p112864	v1576
p208112	v2292
p257480	v1043
p52016	v942
p144991	v1849
p98909	v1470
p236752	v2381
p258664	v2072
p62158	v188
p1915	v36
p171887	v183
p60954	v188
p82209	v1309
p59217	v1080
p264256	v569
p63656	v1096
p178085	v199
p131474	v1325
p221246	v188
p6345	v105
p67523	v244
p70730	v1149
p217825	v2334
p4147	v70
p112311	v1194
p240635	v2389
p271836	v2508
p79251	v1234
p274682	v309
p286646	v2554
p115141	v1592
p201810	v2227
p248864	v2347
p130002	v1728
p105076	v188
p148257	v1886
p13559	v262
p47784	v848
p150043	v1890
p161073	v1986
p34689	v643
p200804	v2178
p207039	v1730
p260709	v2473
p268678	v578
p275636	v2514
p18373	v423
p177513	v199
p110897	v1547
p75832	v1231
p191802	v345
p50267	v892
p216839	v1986
p131646	v1733
p85174	v1342
p164113	v2025
p234403	v2364
p25676	v514
p68533	v1131
p122331	v1684
p164145	v2027
p46772	v830
p6449	v106
p183736	v265
p9117	v173
p34540	v642
p270934	v1114
p203437	v690
p47553	v841
p45766	v819
p214998	v2325
p101478	v1495
p40380	v746
p131540	v1325
p184341	v591
p197906	v2139
p115068	v7
p240048	v2160
p250009	v857
p65090	v211
p273144	v2512
p34080	v632
p3062	v52
p92954	v1421
p259512	v2465
p17847	v403
p138797	v1801
p126422	v784
p211974	v511
p68610	v1132
p279808	v1181
p84469	v1332
p137641	v1780
p253013	v1370
p10567	v188
p48303	v861
p31575	v596
p288368	v2205
p16586	v372
p72258	v357
p139956	v892
p67624	v248
p147324	v1879
p205850	v1726
p206608	v1730
p184521	v1528
p222689	v188
p176044	v188
p14731	v307
p72291	v357
p1384	v27
p23623	v483
p189870	v606
p262206	v2476
p123702	v1693
p170169	v1084
p51004	v916
p58175	v1058
p247891	v1723
p180676	v223
p194836	v371
p9961	v187
p221086	v186
p283203	v2154
p87737	v1384
p91072	v1413
p263885	v2491
p237265	v382
p60468	v177
p46428	v829
p126262	v467
p163667	v2016
p165435	v2047
p24269	v487
p146059	v1863
p6056	v102
p266985	v1096
p10291	v188
p287337	v2575
p217373	v1986
p150530	v1896
p115598	v11
p31099	v265
p145602	v950
p111211	v357
p263500	v566
p212008	v511
p38435	v708
p282023	v2523
p200452	v2175
p186111	v283
p252382	v952
p254412	v1382
p3890	v67
p282841	v1229
p135845	v1766
p154059	v1922
p93036	v1421
p258586	v2009
p109821	v307
p34562	v642
p232404	v338
p15574	v340
p31353	v592
p284518	v2529
p171746	v1085
p166485	v2056
p248261	v2409
p245125	v781
p74959	v1221
p710	v19
p63737	v1096
p76172	v1232
p187217	v1541
p244213	v758
p236831	v1178
p2378	v48
p271031	v247
p155478	v1484
p127812	v1722
p150664	v1896
p74162	v1188
p32401	v322
p173816	v188
p148383	v1886
p169022	v2081
p48194	v859
p121867	v1678
p235964	v614
p286986	v2562
p64370	v1096
p169284	v173
p96105	v42
p175911	v188
p263486	v566
p201411	v2202
p13182	v250
p197421	v1201
p259099	v2455
p58539	v1068
p55614	v1016
p175945	v188
p256193	v122
p41248	v763
p213644	v1887
p19437	v445
p75663	v1231
p90841	v1411
p157194	v1954
p209946	v2304
p147340	v1880
p113982	v1581
p108799	v1537
p27172	v545
p218951	v2334
p276938	v2122
p237679	v389
p244611	v1695
p139681	v1817
p215116	v2325
p2191	v42
p34781	v645
p147185	v535
p236726	v2381
p95863	v1450
p184701	v1130
p68796	v1132
p18875	v429
p25013	v502
p17967	v415
p269542	v578
p22460	v470
p194184	v1163
p193218	v367
p81049	v1290
p152478	v1907
p128347	v1723
p159671	v1977
p33345	v615
p172651	v187
p71265	v339
p284698	v2529
p259962	v2473
p222604	v188
p44343	v798
p104384	v188
p108390	v1531
p41472	v771
p249852	v1765
p94389	v1323
p125139	v52
p25046	v502
p249976	v857
p235446	v611
p197727	v1576
p7982	v134
p84456	v1331
p70657	v1149
p160247	v1986
p127980	v798
p4470	v78
p221473	v2343
p181618	v238
p257961	v1076
p96600	v1429
p202350	v662
p232735	v339
p7417	v127
p200277	v2173
p145263	v1850
p196753	v2135
p215298	v1020
p34764	v644
p47734	v847
p276070	v2362
p166006	v2055
p11836	v203
p209829	v2303
p108652	v1534
p130710	v1732
p139905	v1818
p192146	v1548
p199339	v2165
p251640	v2421
p260654	v2473
p203524	v1628
p50843	v908
p210398	v867
p46823	v830
p208762	v2295
p103608	v188
p64308	v1096
p225909	v220
p254482	v2439
p276146	v2362
p146170	v962
p101267	v1494
p286883	v2560
p78627	v1232
p145713	v955
p80573	v1284
p4137	v70
p181292	v2100
p220818	v181
p168418	v158
p12032	v207
p41032	v759
p135975	v1766
p34201	v634
p283734	v2177
p168365	v154
p257211	v2446
p207961	v2292
p223317	v1090
p112086	v1562
p260539	v2473
p225809	v220
p264263	v569
p45126	v811
p245228	v783
p199882	v2169
p241872	v2395
p125722	v1710
p15377	v334
p150267	v1892
p95257	v1439
p266189	v1509
p261372	v2474
p148550	v1886
p220523	v1084
p66287	v1110
p252369	v2428
p54621	v992
p264444	v1508
p79492	v1234
p43706	v793
p195208	v373
p72758	v1161
p17782	v403
p88930	v1392
p57841	v1052
p26360	v526
p13545	v262
p190729	v342
p64712	v1096
p164214	v2028
p150072	v982
p281221	v397
p91793	v1415
p264977	v188
p168011	v2078
p91214	v1413
p102623	v171
p288303	v2205
p183779	v265
p285143	v2529
p87930	v1389
p68695	v1132
p216297	v1986
p107613	v269
p13836	v276
p26527	v529
p268046	v578
p50482	v895
p255977	v1001
p96102	v42
p82709	v1315
p105698	v196
p87145	v1374
p86324	v1361
p208938	v2296
p271714	v1522
p184565	v2112
p206548	v1730
p169877	v566
p78931	v1232
p246061	v1434
p8687	v158
p132074	v812
p196766	v2135
p180259	v215
p42081	v779
p57448	v1048
p149779	v112
p269728	v578
p54000	v985
p138458	v493
p35118	v650
p188220	v603
p46530	v829
p32542	v337
p199698	v2168
p198029	v2140
p254855	v1907
p112685	v1573
p22492	v471
p260879	v2473
p242003	v2397
p223803	v2349
p172625	v187
p71456	v339
p46381	v829
p24637	v493
p251150	v890
p136757	v1768
p158110	v1966
p225826	v220
p4324	v75
p278012	v615
p143411	v518
p190320	v2122
p92772	v1419
p91698	v1415
p197375	v1201
p36595	v674
p6681	v109
p262528	v2484
p132778	v1746
p106659	v1112
p141892	v506
p117459	v20
p142469	v513
p238021	v396
p181245	v230
p122238	v1683
p28753	v177
p186601	v2114
p186720	v288
p250323	v2414
p9577	v182
p34974	v649
p218277	v2334
p158700	v1966
p175160	v188
p25924	v516
p211491	v2315
p51392	v923
p227314	v234
p130063	v1728
p176781	v193
p139378	v887
p139543	v1814
p246648	v2408
p130907	v1325
p253388	v1874
p195029	v372
p16844	v390
p87511	v1379
p195691	v1180
p59033	v1077
p254547	v1904
p52442	v954
p251033	v2418
p88130	v1390
p5885	v99
p95031	v1325
p99169	v1474
p82146	v1309
p233232	v339
p43798	v793
p47607	v842
p177398	v199
p188260	v2120
p53970	v985
p234828	v2123
p235897	v2373
p286471	v2549
p3712	v63
p182604	v249
p239622	v1574
p147422	v1881
p129789	v473
p117504	v20
p6792	v111
p214836	v1004
p195328	v374
p29749	v203
p58579	v1068
p99549	v1481
p844	v20
p60226	v1084
p133724	v1752
p264740	v2494
p40568	v749
p218335	v2334
p189407	v333
p50319	v894
p263219	v173
p72333	v357
p262994	v166
p103047	v568
p247743	v1723
p76100	v1232
p122927	v456
p151001	v986
p162746	v2010
p124446	v1697
p227866	v248
p150189	v540
p178533	v201
p240593	v2389
p214402	v1896
p19767	v453
p95189	v1325
p262780	v159
p233307	v339
p29616	v188
p120521	v446
p222957	v188
p285278	v2529
p13174	v250
p135200	v483
p137086	v591
p92635	v1418
p3838	v66
p14124	v289
p20064	v458
p168881	v170
p163801	v2017
p169198	v173
p252144	v91
p245742	v2406
p57206	v1039
p161752	v1993
p125349	v52
p175467	v188
p49352	v876
p16460	v369
p285266	v2529
p84031	v1325
p225623	v580
p43545	v791
p117390	v20
p135169	v483
p141220	v1446
p18156	v420
p162964	v2013
p197933	v2139
p11434	v190
p68526	v1131
p146614	v1874
p238484	v1190
p92904	v1420
p29717	v203
p65555	v1100
p190451	v2122
p143696	v1843
p213977	v2323
p99870	v1485
p86409	v1362
p9333	v177
p280523	v2135
p79417	v1234
p83462	v1324
p85382	v1343
p49066	v871
p123149	v1693
p8857	v168
p228706	v1123
p162988	v2014
p238379	v627
p46565	v829
p178300	v2092
p180026	v212
p121254	v737
p35865	v660
p44925	v808
p92834	v1419
p41282	v765
p250210	v857
p12556	v227
p262485	v2482
p260717	v2473
p47413	v838
p276739	v339
p237370	v2385
p68881	v1133
p166958	v2061
p170386	v1084
p225150	v2351
p59739	v176
p210968	v2312
p259289	v2460
p96416	v1429
p243244	v1640
p68571	v274
p90393	v1406
p235243	v2368
p202811	v426
p282705	v2137
p106728	v1520
p79285	v1234
p226630	v227
p166701	v2058
p210698	v871
p172672	v187
p64991	v210
p31047	v587
p268846	v578
p213158	v2320
p257319	v2446
p170845	v2083
p19317	v442
p187386	v299
p102062	v1501
p178391	v201
p39851	v733
p230475	v2117
p142616	v1838
p198372	v2143
p196459	v387
p164047	v2023
p236651	v1175
p228557	v587
p187892	v307
p179136	v1096
p208799	v2295
p22977	v477
p18927	v430
p71725	v1154
p248202	v2409
p282427	v1193
p40587	v750
p73816	v1180
p266706	v1511
p131483	v1325
p258808	v2453
p245224	v783
p65587	v1100
p174830	v188
p44262	v798
p229964	v2358
p76900	v1232
p283557	v2173
p11337	v188
p191821	v345
p14581	v302
p235219	v2368
p211914	v511
p98920	v1470
p183679	v1125
p233897	v2363
p100517	v1488
p115430	v1597
p169660	v566
p35191	v651
p1113	v21
p155089	v1935
p118058	v1629
p145000	v1849
p39530	v724
p4613	v82
p193488	v1161
p6360	v106
p57232	v1040
p51275	v920
p51291	v920
p278005	v615
p13160	v250
p216234	v1986
p268790	v578
p153082	v1911
p51567	v931
p31512	v595
p71695	v1154
p279134	v1161
p287793	v2590
p115122	v1592
p264591	v2088
p78222	v1232
p44693	v804
p90010	v1402
p126500	v784
p211461	v2315
p248582	v810
p112877	v1576
p197979	v2140
p149703	v112
p9123	v173
p144553	v1845
p221017	v2341
p268188	v578
p118047	v1629
p12776	v233
p36129	v666
p129597	v1726
p140779	v1820
p54777	v1000
p136926	v1770
p34027	v632
p229851	v1533
p150379	v1894
p111963	v389
p204391	v2281
p229302	v592
p69590	v290
p56417	v1024
p77539	v1232
p140071	v892
p119337	v1646
p158298	v1966
p243047	v2335
p270029	v578
p241581	v2314
p287113	v2567
p255907	v1480
p140050	v892
p241025	v2278
p121105	v1665
p282562	v1204
p254666	v1907
p245664	v2406
p247689	v1723
p192274	v2123
p269116	v578
p55379	v1016
p95099	v1325
p265487	v188
p124141	v459
p197870	v2139
p149640	v111
p81733	v1303
p192944	v362
p28392	v566
p10036	v187
p66052	v1104
p115950	v14
p860	v20
p107631	v269
p268331	v578
p195416	v375
p95125	v1325
p38234	v706
p4722	v85
p105242	v188
p252719	v964
p51530	v929
p58053	v1053
p178249	v1093
p129106	v1723
p16999	v397
p108648	v1534
p250698	v1800
p64544	v1096
p249653	v1441
p147763	v1885
p129373	v1726
p203310	v690
p6624	v108
p138082	v492
p190413	v2122
p130209	v1728
p257058	v2446
p110767	v341
p77243	v1232
p93949	v480
p88275	v1390
p217469	v1986
p51568	v931
p258646	v2009
p172486	v186
p280399	v2135
p50075	v890
p115125	v1592
p138370	v1790
p135128	v1336
p207848	v2292
p101689	v1495
p618	v19
p240982	v2275
p185405	v595
p9651	v183
p26006	v518
p196402	v385
p212023	v511
p97232	v1459
p112220	v632
p178869	v1096
p86085	v1353
p108694	v285
p27585	v557
p2564	v51
p103631	v188
p206163	v1730
p94078	v1434
p59866	v566
p42340	v782
p252072	v2424
p63851	v1096
p188050	v2119
p238067	v396
p61364	v188
p265304	v188
p205447	v777
p224089	v202
p112134	v625
p232728	v339
p154832	v1930
p71560	v339
p32152	v602
p226373	v223
p75086	v1224
p249549	v2348
p93967	v480
p128212	v1723
p210694	v871
p273448	v299
p172715	v187
p172048	v184
p137302	v1341
p160695	v1986
p142325	v1835
p85903	v1349
p81291	v1295
p281809	v2523
p158862	v1966
p191969	v346
p18048	v416
p31817	v285
p179004	v1096
p111302	v368
p181314	v1110
p169454	v565
p177801	v199
p227699	v1114
p214704	v989
p60098	v1084
p10104	v188
p209772	v2302
p281677	v2523
p72944	v1162
p279883	v1183
p113050	v642
p186116	v283
p223704	v2349
p44807	v806
p85571	v1345
p242695	v2398
p222022	v188
p134213	v1756
p21191	v462
p255176	v1907
p52292	v950
p18265	v423
p221822	v188
p71498	v339
p261019	v2474
p10118	v188
p83408	v1324
p70520	v1148
p87177	v1374
p117367	v19
p159870	v1980
p113266	v1579
p21371	v462
p153335	v131
p274052	v309
p87550	v1381
p94518	v1323
p194248	v1164
p41417	v769
p278082	v616
p186271	v1537
p184258	v271
p31731	v282
p213913	v2322
p197620	v1230
p140501	v895
p104324	v188
p260143	v2473
p284482	v2529
p126680	v785
p67037	v238
p196829	v2136
p105752	v573
p89543	v1397
p231109	v2360
p29903	v578
p94366	v1323
p113195	v1579
p185773	v282
p180544	v2098
p207991	v2292
p204372	v2282
p268822	v578
p102346	v1503
p192192	v1548
p101471	v1495
p222444	v188
p251238	v84
p142581	v924
p13912	v282
p270416	v227
p215545	v1030
p201549	v2204
p285748	v2531
p116542	v17
p236832	v1178
p130989	v1325
p193253	v367
p185755	v282
p130774	v1325
p265091	v188
p171877	v183
p87469	v1378
p75384	v1231
p61511	v188
p60447	v177
p160121	v1986
p193923	v2128
p218174	v2334
p214303	v1896
p29197	v188
p169998	v1084
p219746	v1502
p56863	v1029
p60449	v177
p136409	v1767
p69936	v303
p126995	v1718
p128221	v1723
p60983	v188
p29300	v188
p287101	v2567
p219552	v563
p235095	v352
p41355	v767
p287663	v2584
p12885	v238
p126391	v784
p207610	v2292
p23478	v483
p223197	v192
p146082	v1863
p8959	v170
p286202	v2542
p71079	v339
p140786	v1820
p276315	v2121
p80607	v1286
p59516	v161
p35813	v659
p125828	v1713
p201338	v2197
p41696	v462
p189424	v334
p28593	v566
p169675	v566
p36651	v674
p78640	v1232
p165952	v2055
p250777	v1800
p241385	v2392
p55105	v1007
p141595	v87
p229150	v1525
p37616	v695
p155033	v136
p140506	v895
p119650	v719
p254171	v2438
p180125	v579
p71584	v339
p216515	v1986
p143820	v1843
p62868	v1090
p51681	v930
p274673	v309
p197816	v1576
p257414	v2447
p280206	v2520
p72124	v1156
p25527	v511
p93743	v1431
p140263	v894
p133418	v1752
p102914	v177
p166767	v2059
p133322	v1752
p69521	v1135
p133357	v1752
p50187	v891
p246524	v2407
p58134	v1056
p2990	v52
p104596	v188
p225777	v218
p69928	v1141
p16627	v373
p118483	v1637
p63449	v1096
p55417	v1016
p265292	v188
p102768	v566
p132232	v1738
p26241	v523
p50927	v912
p6865	v112
p34024	v632
p201649	v2205
p203011	v681
p239282	v1223
p281600	v625
p193017	v365
p200962	v2183
p129756	v473
p82749	v1315
p165478	v1709
p61083	v188
p164958	v2040
p72239	v1157
p133387	v1752
p63619	v1096
p142475	v513
p236770	v619
p110972	v1548
p12748	v231
p133257	v1752
p156590	v1946
p195662	v376
p4663	v84
p237112	v1180
p197799	v1576
p236884	v377
p43217	v789
p11407	v188
p242582	v672
p137951	v1785
p116565	v1622
p109418	v1541
p286189	v2541
p11688	v199
p158459	v1966
p104206	v188
p155840	v141
p247025	v1723
p183879	v269
p132004	v478
p164808	v2036
p43757	v793
p270598	v2100
p235652	v2371
p268269	v578
p180502	v221
p54293	v987
p259693	v2466
p139804	v1817
p189582	v336
p76290	v1232
p69727	v299
p154066	v1922
p284028	v2526
p120271	v1652
p250721	v1800
p191391	v345
p28783	v177
p116362	v16
p204833	v2286
p121395	v1669
p149913	v1889
p21420	v462
p241936	v2330
p38063	v702
p128557	v1723
p96481	v1429
p213131	v1472
p208726	v1329
p110328	v1545
p146006	v960
p239155	v1217
p28808	v177
p220304	v566
p1560	v29
p77405	v1232
p168033	v2078
p149154	v1886
p131321	v1325
p175470	v188
p9849	v186
p21868	v464
p125008	v1703
p28357	v566
p127905	v798
p78372	v1232
p156916	v1946
p77596	v1232
p268643	v578
p159632	v1977
p11666	v198
p267544	v2504
p20124	v459
p161273	v1989
p270234	v220
p54309	v987
p264992	v188
p76889	v1232
p277452	v1157
p267559	v1515
p85252	v1342
p136334	v1767
p78853	v1232
p84494	v1332
p70447	v1146
p121072	v32
p67596	v248
p226182	v220
p15460	v337
p102979	v177
p15602	v340
p50217	v892
p62887	v1091
p164013	v2022
p200414	v2175
p212105	v937
p660	v19
p68053	v1125
p99782	v1484
p99326	v118
p163423	v2014
p284261	v2529
p177555	v199
p173979	v188
p6519	v108
p118972	v709
p160953	v1986
p97306	v1459
p62399	v188
p214222	v1896
p74245	v1190
p109952	v307
p78065	v1232
p270211	v220
p158636	v1966
p29185	v188
p136534	v837
p123050	v1692
p172277	v185
p193971	v1162
p31690	v282
p168883	v170
p107409	v1524
p203567	v705
p234622	v1547
p47000	v831
p255273	v1907
p33672	v620
p266887	v1096
p93167	v1423
p153277	v1914
p266233	v193
p46681	v829
p239231	v1222
p113927	v1580
p1144	v21
p194374	v1553
p268555	v578
p183013	v254
p186126	v283
p95645	v84
p132895	v1748
p157411	v1959
p111166	v348
p196847	v2136
p269099	v578
p118008	v1629
p24580	v491
p189885	v606
p114723	v652
p204913	v2286
p146329	v1870
p148963	v1887
p274430	v309
p250665	v879
p65277	v1098
p111657	v378
p200185	v2172
p236003	v1160
p174585	v188
p140513	v895
p254363	v118
p265912	v2500
p103497	v188
p154156	v1922
p23753	v483
p51369	v922
p23709	v483
p23767	v484
p119658	v719
p134131	v1755
p258144	v1979
p154525	v1019
p102993	v177
p16356	v361
p116851	v1623
p138501	v1793
p151137	v987
p121621	v740
p127285	v788
p175387	v188
p201989	v641
p257887	v1066
p257876	v1066
p240163	v2174
p287468	v2579
p59136	v1078
p40901	v757
p113881	v1580
p116873	v18
p83948	v1325
p194925	v372
p176760	v193
p181762	v238
p92059	v1415
p81886	v1304
p247248	v1723
p269129	v578
p106051	v1511
p175143	v188
p140903	v1821
p113376	v1579
p275976	v2362
p161852	v1993
p22966	v477
p114405	v647
p185959	v283
p188437	v2120
p7972	v134
p202955	v2280
p8942	v170
p265183	v188
p248114	v1727
p264004	v2084
p113577	v643
p111581	v620
p30481	v578
p225578	v579
p108895	v289
p69328	v282
p155257	v1935
p141884	v506
p87256	v1376
p63445	v1096
p178343	v2092
p9773	v185
p285620	v2531
p246983	v1723
p152372	v1907
p270341	v2098
p205181	v769
p146252	v963
p207662	v2292
p40921	v757
p176117	v188
p39157	v719
p51005	v916
p201049	v2186
p131019	v1325
p152884	v1907
p198527	v2148
p192976	v364
p269955	v578
p92779	v1419
p267950	v578
p91791	v1415
p67431	v243
p89940	v1401
p99076	v1472
p78504	v1232
p112382	v1196
p282146	v632
p5389	v90
p264529	v183
p40685	v753
p160283	v1986
p178510	v201
p219320	v2338
p236092	v2376
p71464	v339
p90582	v1409
p217132	v1986
p67154	v238
p272484	v275
p273998	v309
p162200	v1999
p119610	v719
p48737	v867
p226650	v227
p161655	v1992
p144235	v1843
p26968	v541
p167926	v2078
p181913	v243
p215001	v2325
p22578	v472
p165084	v2041
p62070	v188
p236868	v620
p230328	v1135
p88261	v1390
p143014	v930
p6980	v114
p39341	v719
p195158	v373
p105548	v193
p124539	v1697
p140114	v892
p99340	v118
p64790	v1096
p116609	v1622
p196853	v391
p23406	v483
p60525	v181
p20110	v458
p198523	v2148
p44772	v805
p13634	v267
p157072	v1954
p213217	v2320
p68616	v1132
p41406	v769
p5216	v89
p77938	v1232
p210383	v867
p66988	v238
p270223	v220
p62590	v1089
p200423	v2175
p202710	v2277
p262508	v2484
p215227	v1020
p158939	v1966
p113529	v1579
p137608	v859
p149471	v1886
p7415	v127
p260272	v2473
p8507	v151
p255902	v1480
p121128	v736
p144041	v1843
p133029	v1751
p86882	v1370
p276965	v2122
p140873	v1821
p58931	v1075
p38681	v713
p117148	v19
p279823	v378
p81738	v1303
p216658	v1986
p284069	v2528
p208501	v2294
p195724	v1180
p132059	v812
p95586	v1442
p196608	v621
p183312	v258
p97610	v1459
p44164	v798
p105684	v196
p64071	v1096
p116121	v1615
p19550	v447
p202163	v419
p138364	v1790
p239474	v1228
p215751	v1033
p171589	v182
p218740	v2334
p42550	v784
p239686	v2139
p213939	v2322
p115468	v1597
p88614	v1392
p14266	v295
p25687	v514
p37080	v688
p18539	v425
p411	v18
p72337	v357
p191643	v345
p118095	v1630
p110834	v1547
p42022	v779
p83371	v1323
p227893	v1115
p54669	v995
p148137	v1886
p92034	v1415
p89262	v1392
p222822	v188
p78442	v1232
p267111	v1096
p34863	v647
p28158	v166
p78684	v1232
p207293	v2292
p163271	v2014
p267986	v578
p112427	v1203
p149749	v112
p244425	v1692
p273508	v300
p170551	v1084
p268453	v578
p283812	v2177
p78840	v1232
p33317	v615
p96612	v1429
p226666	v227
p152592	v1907
p17406	v403
p179440	v208
p29857	v576
p81415	v1299
p93269	v1426
p282991	v1573
p138333	v1789
p33353	v615
p267697	v578
p90447	v1407
p72842	v1161
p76343	v1232
p124464	v1697
p217693	v2333
p164366	v2030
p55488	v1016
p38536	v711
p262795	v160
p227926	v1116
p151016	v986
p97676	v1459
p90692	v1411
p816	v20
p202512	v2277
p23758	v484
p102500	v170
p93755	v1431
p266191	v1509
p251107	v890
p128789	v1723
p130674	v474
p217778	v2334
p55421	v1016
p283776	v2177
p252449	v2429
p30810	v579
p251497	v917
p192995	v364
p282080	v2523
p94183	v1435
p167616	v2076
p94986	v1438
p67876	v254
p129102	v1723
p79997	v1234
p97438	v1459
p168239	v2078
p62038	v188
p17083	v401
p234430	v2364
p198214	v2142
p177359	v199
p31767	v283
p252255	v945
p200305	v2174
p75629	v1231
p83315	v1323
p197153	v630
p234123	v2363
p43927	v794
p235001	v347
p202129	v2274
p203935	v1309
p81138	v1292
p58765	v1072
p227505	v238
p90711	v1411
p54256	v987
p274350	v309
p10432	v188
p42715	v784
p74584	v1201
p152630	v1907
p171818	v183
p256393	v1387
p173831	v188
p87276	v1376
p287763	v2588
p169721	v566
p279656	v1177
p240164	v2174
p110358	v1545
p172146	v184
p2325	v47
p143684	v1843
p208341	v2292
p69309	v280
p260941	v2474
p216724	v1986
p184214	v1127
p67607	v248
p244166	v1688
p71793	v343
p206605	v1730
p85625	v1345
p243611	v713
p196507	v388
p273995	v309
p121228	v737
p242351	v1299
p13110	v248
p248957	v820
p111421	v1173
p101772	v1497
p85305	v73
p169939	v1084
p67102	v238
p207645	v2292
p142092	v88
p89851	v1401
p285032	v2529
p138383	v1791
p102366	v1504
p242483	v667
p265742	v188
p5104	v87
p79370	v1234
p7713	v130
p252540	v957
p268794	v578
p128528	v1723
p254039	v2437
p55690	v1016
p38810	v714
p89147	v1392
p284528	v2529
p275170	v2513
p259428	v2464
p212081	v929
p200306	v2174
p197217	v1193
p93723	v1431
p104450	v188
p279858	v1183
p202265	v2276
p54473	v987
p93993	v480
p11315	v188
p235911	v2373
p222670	v188
p20130	v459
p32914	v345
p146030	v1863
p118865	v438
p32945	v345
p70131	v311
p26737	v534
p165042	v2041
p41377	v769
p219709	v163
p284566	v2529
p20401	v459
p287957	v2599
p7220	v123
p233153	v339
p219232	v2335
p52135	v944
p232316	v2121
p140152	v498
p9456	v181
p20823	v462
p198668	v2154
p77280	v1232
p208526	v815
p167457	v2073
p266898	v1096
p269117	v578
p189819	v605
p53319	v972
p177495	v199
p38709	v713
p133844	v65
p220963	v2341
p280498	v2135
p53975	v985
p126662	v785
p287238	v2572
p102867	v177
p174279	v188
p166528	v2056
p272525	v275
p61205	v188
p175058	v188
p243545	v712
p269009	v578
p274480	v309
p218592	v2334
p253384	v1874
p79547	v1234
p109101	v1540
p86681	v1366
p170461	v1084
p15274	v330
p172172	v2088
p137680	v1782
p244919	v2405
p203037	v681
p186440	v2114
p186293	v1537
p173870	v188
p201548	v2204
p22391	v469
p227883	v1115
p41768	v773
p218625	v2334
p109524	v300
p266696	v1511
p250405	v2391
p12175	v211
p240263	v2177
p65465	v216
p65413	v216
p22540	v471
p270330	v2098
p57281	v1041
p237281	v1185
p118876	v438
p148226	v1886
p179530	v2094
p201359	v2198
p238034	v396
p268609	v578
p267344	v210
p94247	v1323
p268948	v578
p156691	v1946
p86558	v91
p138300	v1787
p79358	v1234
p120119	v443
p66221	v1108
p114670	v652
p209889	v2304
p69077	v277
p92781	v1419
p270707	v234
p100273	v1488
p120839	v1663
p79711	v1234
p17298	v403
p178638	v201
p41241	v763
p227013	v1110
p201997	v641
p136954	v490
p128993	v1723
p243391	v707
p114221	v1583
p191529	v345
p62521	v1088
p171879	v183
p39522	v724
p207734	v2292
p83573	v1324
p147428	v1881
p258577	v2009
p157823	v1966
